
--- 녹화 세션 시작: 2026-06-05 02:52:40 ---
[2026-06-05 02:52:40] Time:0.152s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:False
[2026-06-05 02:52:40] Time:0.304s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:False
[2026-06-05 02:52:41] Time:0.455s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:False
[2026-06-05 02:52:41] Time:0.606s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:False
[2026-06-05 02:52:41] Time:0.757s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:41] Time:0.908s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:41] Time:1.060s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:41] Time:1.210s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:42] Time:1.361s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:42] Time:1.512s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:42] Time:1.663s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:42] Time:1.814s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:42] Time:1.965s | X:53, Y:72 | Dir:left | Teleport:False | Jump:False | Combat:False
[2026-06-05 02:52:42] Time:2.116s | X:40, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:42] Time:2.268s | X:40, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:43] Time:2.418s | X:40, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:43] Time:2.569s | X:40, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:43] Time:2.720s | X:40, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:43] Time:2.871s | X:40, Y:67 | Dir:left | Teleport:False | Jump:False | Combat:False
[2026-06-05 02:52:43] Time:3.022s | X:40, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
