Time,X,Y,Direction,Down,Teleport,Jump,Combat
0.009,53,74,none,False,False,False,False
0.165,53,74,none,False,False,False,False
0.32,53,74,none,False,False,False,True
0.476,53,74,none,False,False,False,True
0.631,53,74,none,False,False,False,True
0.787,53,74,none,False,False,False,True
0.942,53,74,none,False,False,False,True
1.098,53,74,none,False,False,False,True
1.253,53,74,none,False,False,False,True
1.409,53,74,none,False,False,False,True
1.564,53,74,none,False,False,False,True
1.72,53,74,none,False,False,False,True
1.876,53,74,none,False,False,False,True
2.031,53,74,none,False,False,False,True
2.186,53,74,none,False,False,False,True
2.342,53,74,none,False,False,False,True
2.497,53,74,none,False,False,False,True
2.653,41,69,left,False,True,False,True
2.808,41,69,none,False,False,False,True
2.963,41,69,none,False,False,False,True
3.119,41,69,none,False,False,False,True
3.275,41,69,none,False,False,False,True
3.43,41,69,none,False,False,False,True
3.586,41,69,none,False,False,False,True
3.741,41,69,none,False,False,False,True
3.897,41,69,none,False,False,False,True
4.052,41,69,none,False,False,False,True
4.207,41,69,none,False,False,False,True
4.363,41,69,none,False,False,False,True
4.519,41,69,none,False,False,False,True
4.674,41,69,none,False,False,False,True
4.83,41,69,none,False,False,False,True
4.985,41,69,none,False,False,False,True
5.141,41,69,none,False,False,False,True
5.296,41,69,none,False,False,False,True
5.452,41,69,none,False,False,False,True
5.608,41,69,none,False,False,False,True
5.763,41,69,none,False,False,False,True
5.918,41,69,none,False,False,False,True
6.074,41,69,none,False,False,False,True
6.229,41,69,none,False,True,False,True
6.385,41,58,none,False,False,False,True
6.54,41,58,none,False,False,False,True
6.696,41,58,none,False,False,False,True
6.851,41,58,none,False,False,False,True
7.007,41,58,none,False,False,False,True
7.162,41,58,none,False,False,False,True
7.318,41,58,none,False,False,False,True
7.473,41,58,none,False,False,False,True
7.629,41,58,none,True,True,False,True
7.784,41,69,none,False,False,False,True
7.94,41,69,none,False,False,False,True
8.095,41,69,none,False,False,False,True
8.251,41,69,none,False,False,False,True
8.406,41,69,none,False,False,False,True
8.562,41,69,none,False,False,False,True
8.717,41,69,none,False,False,False,True
8.873,41,69,none,False,False,False,True
9.028,41,69,none,False,False,False,True
9.184,40,82,none,True,True,False,True
9.339,40,82,none,False,False,False,True
9.495,40,82,none,False,False,False,True
9.651,40,82,none,False,False,False,True
9.806,40,82,none,False,False,False,True
9.961,40,82,none,False,False,False,True
10.117,40,82,none,False,False,False,True
10.272,40,82,none,False,False,False,True
10.428,40,82,none,False,False,False,True
10.583,40,82,none,False,False,False,True
10.739,40,82,none,False,False,False,True
10.894,40,82,right,False,True,False,True
11.05,53,83,none,False,False,False,True
11.205,53,83,none,False,False,False,True
11.361,53,83,none,False,False,False,True
11.516,53,83,none,False,False,False,True
11.672,53,83,none,False,False,False,True
11.827,53,83,none,False,False,False,True
11.983,53,83,none,False,False,False,True
12.138,53,83,none,False,False,False,True
12.294,53,83,none,False,False,False,True
